,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,confirmations_mean,confirmations_median,confirmations_std,confirmations_min,confirmations_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
32,12435wTGTdvaQTYs4fpKwf5V3ueafaPetH,miner,14,5892,324461.5,215584,427494.3139,1747,1630535,1628788,7518.071429,5609,7739.651527,456,31548,30002.85714,22436,31026.53112,1396,126192,156532.5,156717,1987.707367,153702,159587,44.28571429,37.5,52.99844493,1,201,29.07142857,2,39.05905644,2,101,3299386042,501000737.5,4844160909,6190570,15818970981,3299061580,500964217,4843805071,6188823,15817340446
33,12445FN5tHKncybMFeNXxehfnRSamcr355,services,4,1055,53273.5,35678,64986.5055,2468,139270,136802,11160.25,7721.5,12598.6102,1234,27964,44641,30886,50394.44079,4936,111856,153599.25,153808.5,495.7333793,152866,153914,59,42.5,71.80993432,1,150,21.25,19,19.31105038,4,43,26439486.5,25533193.5,25883659.04,3095400,51596159,26386213,25497515.5,25823224.63,3092932,51456889
34,124iA7yq1xjFA9JvGYeHvBBiZS9YE3qP5p,miner,8,20237,2826047.625,314168.5,4465448.496,35324,10000000,9964676,15583.625,1406,31601.26445,259,90590,62334.5,5624,126405.0578,1036,362360,163327.25,162940.5,10065.11943,153714,173925,102.125,4.5,215.8494432,1,614,15.25,2.5,34.68943849,1,101,1149697060,482343952.5,1619702946,14056655,4081169018,1146871013,477324535.5,1617903213,13598918,4079374532
35,124Jdxt5szHi7nyktjjtvg6WwGSZzxePPc,gambling,8,77929,46724.375,13608,73777.43776,1920,217156,215236,512.5,394,373.5532091,191,1109,2050,1576,1494.212836,764,4436,127295.375,111594,33007.73273,102719,180631,2.75,1,2.549509757,1,7,2.875,2,3.720119046,1,12,329555947.4,22658998.5,631613463.2,5963445,1769909096,329509223,22649697,631551318.8,5961525,1769691940
36,125bz7u6fmgkb2FSpHNQGXxZHR3oWuAByg,coinjoin-like,75,5517,66666.66667,20000,73159.08865,10000,300000,290000,5053.48,907,7034.050675,225,29376,20213.92,3628,28136.2027,900,117504,365923.24,365788,1425.123891,362839,368356,28.06666667,4,39.90574481,1,167,3.546666667,2,4.77406658,1,33,601826610.1,180700000,646896489.8,10020,1389300212,601759943.5,180660000,646837898.2,20,1389001296
37,125EVYvyYeB742W8YVcFzoxQmgxvqfnznJ,miner,10,12497,147161.9,169100,131340.0773,266,318600,318334,1726,1922.5,1123.144099,225,3174,6871,7690,4541.70592,670,12696,146979,148576.5,5229.228964,141207,153704,9.7,10,8.340663443,1,21,8.1,2,16.6696664,2,55,1419352451,246251017,2888920615,29422430,9341890673,1419205289,246098277,2888959201,29422164,9341880614
38,125i4CE6axsQHbmSPtrnjWuxAsGvVDEnsr,miner,41,34847,1244281.927,87328,4663668.79,252,22565598,22565346,2673.512195,372,7975.694817,191,38256,10654.2439,1488,31896.83372,764,153024,165795.9756,171195,10099.53041,140761,175608,11.53658537,1,43.56667164,1,202,28.29268293,2,69.73028177,1,293,1089548202,15262120,2953796595,2325400,14812497082,1088303920,15128451,2950506434,2249434,14792140269
39,125KffLCotHnPTctejLh38YhPk8Tk5XuQF,coinjoin-like,180,12722,64555.55556,40000,80482.63786,10000,620000,610000,3003.627778,1941.5,3297.027241,496,30050,12014.51111,7766,13188.10896,1984,120200,338741.7278,339650.5,3749.095295,331359,344061,15.98888889,9,21.55854414,1,199,14.33333333,10,5.93917023,3,50,2075409559,1461670000,2041735375,60000,10596785388,2075345003,1461590000,2041699363,30000,10596755388
40,125MgaE23Pz35uCudN6N3d3zYyprXw8ScK,exchange,2,3,579924.5,579924.5,526689.1931,207499,952350,744851,9545.5,9545.5,1740.189789,8315,10776,38182,38182,6960.759154,33260,43104,153718,153718,19.79898987,153704,153732,47.5,47.5,28.99137803,27,68,16,16,8.485281374,10,22,6584181949,6584181949,7611771932,1201846399,11966517499,6583602025,6583602025,7612298621,1200894049,11966310000
41,125NDEksWXKc7SgbJZePtaEPZwMVite5Wc,miner,4,3491,176525.25,153922,162207.8619,3057,395200,392143,7354.5,7328,6463.761882,222,14540,29418,29312,25855.04753,888,58160,155459.25,155457.5,2018.13055,153711,157211,43.75,38,48.81512744,1,98,26.75,2,49.5,2,101,1325397340,501000036,1996719613,126765,4299462523,1325220815,500846114,1996566444,123708,4299067323
